date,open,high,low,close,,,
2/21/2023,403.06,404.16,398.82,399.09,,,
2/22/2023,399.52,401.13,397.02,398.54,,,
2/23/2023,401.56,402.2,396.25,400.66,,,
2/24/2023,395.42,397.25,393.64,396.38,,,
2/27/2023,399.87,401.29,396.75,397.73,,,
2/28/2023,397.23,399.28,396.15,396.26,,,
3/1/2023,395.41,396.69,393.38,394.74,,,
3/2/2023,392.68,398.69,392.33,397.81,,,
3/3/2023,399.71,404.45,399.03,404.19,,,
3/6/2023,405.05,407.45,404.01,404.47,,,
3/7/2023,404.42,404.67,397.625,398.27,,,
3/8/2023,398.39,399.71,396.59,398.92,,,
3/9/2023,399.74,401.48,390.53,391.56,,,
3/10/2023,390.99,393.16,384.32,385.91,,,
3/13/2023,381.81,390.39,380.65,385.36,,,
3/14/2023,390.5,393.45,387.05,391.73,,,
3/15/2023,385.89,389.49,383.71,389.28,,,
3/16/2023,386.82,396.47,386.29,396.11,,,
3/17/2023,393.22,394.4,388.55,389.99,,,
3/20/2023,390.8,394.17,390.07,393.74,,,
3/21/2023,397.24,399.41,395.58,398.91,,,
3/22/2023,398.73,402.49,392.07,392.11,,,
3/23/2023,395.09,399.29,390.35,393.17,,,
3/24/2023,391.841,395.84,389.4,395.75,,,
3/27/2023,398.12,398.92,395.56,396.49,,,
3/28/2023,395.77,396.49,393.69,395.6,,,
3/29/2023,399.925,401.6,398.68,401.35,,,
3/30/2023,404.09,404.35,401.76,403.7,,,
3/31/2023,404.66,409.7,404.55,409.39,,,
4/3/2023,408.85,411.37,408.44,410.95,,,
4/4/2023,411.62,411.92,407.24,408.67,,,
4/5/2023,407.91,408.7,405.88,407.6,,,
4/6/2023,406.77,409.48,405.678,409.19,,,
4/10/2023,406.61,409.69,405.97,409.61,,,
4/11/2023,410.26,411.18,408.92,409.72,,,
4/12/2023,411.87,412.17,407.44,408.05,,,
4/13/2023,409.18,413.84,407.9922,413.47,,,
4/14/2023,412.81,415.09,410.06,412.46,,,
4/17/2023,412.37,413.96,411.085,413.94,,,
4/18/2023,415.58,415.72,412.7802,414.21,,,
4/19/2023,412.22,415.08,412.16,414.14,,,
4/20/2023,411.21,413.7,410.27,411.88,,,
4/21/2023,412.19,412.68,410.17,412.2,,,
4/24/2023,411.99,413.07,410.6,412.63,,,
4/25/2023,410.58,411.16,406.02,406.08,,,
4/26/2023,406.72,407.84,403.78,404.36,,,
4/27/2023,407,412.69,406.74,412.41,,,
4/28/2023,411.49,415.94,411.43,415.93,,,
5/1/2023,415.47,417.62,415.265,415.51,,,
5/2/2023,414.77,414.82,407.82,410.84,,,
5/3/2023,411.36,413.87,407.77,408.02,,,
5/4/2023,406.93,407.27,403.74,405.13,,,
5/5/2023,408.91,413.72,408.64,412.63,,,
